"diseaseId","diseaseName","diseaseType","diseaseClass","diseaseSemanticType","autism_subtype_broad","n_genes","is_autism"
"C1970109","AROMATASE EXCESS SYNDROME","disease","C12;C13;C16;C17;C18;C19","Disease or Syndrome","Not Autism",1,FALSE
"C0342467","Late onset congenital adrenal hyperplasia","disease","C12;C13;C16;C18;C19","Disease or Syndrome","Not Autism",1,FALSE
"C1859995","Hyperandrogenism, Nonclassic Type, due to 21-Hydroxylase Deficiency","disease","C12;C13;C16;C19","Disease or Syndrome","Not Autism",1,FALSE
"C2936858","Congenital adrenal hyperplasia due to 21 hydroxylase deficiency","disease","C12;C13;C16;C18;C19","Congenital Abnormality","Not Autism",1,FALSE
"C0020438","Hypercalciuria","phenotype","C23","Disease or Syndrome","Not Autism",4,FALSE
"C0268080","Hypercalcemia, Idiopathic, of Infancy","disease","C16;C18","Disease or Syndrome","Not Autism",3,FALSE
"C0392525","Nephrolithiasis","disease","C12;C13","Disease or Syndrome","Not Autism",1,FALSE
"C0475732","Hypercalcemia, Infantile","phenotype","C18","Finding","Not Autism",2,FALSE
"C4310232","Hypercalcemia, Infantile, 1","disease","C18","Disease or Syndrome","Not Autism",2,FALSE
"C4310473","Hypercalcemia, infantile, 2","disease","C18","Disease or Syndrome","Not Autism",2,FALSE
"C0238052","Xanthomatosis, Cerebrotendinous","disease","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C0035579","Rickets","disease","C05;C18","Disease or Syndrome","Not Autism",4,FALSE
"C0085655","Polymyositis","disease","C05;C10","Disease or Syndrome","Not Autism",5,FALSE
"C0263984","Polymyositis Ossificans","disease","C05;C10","Disease or Syndrome","Not Autism",5,FALSE
"C0268689","Vitamin D-dependent rickets, type 1","disease","C05;C12;C13;C16;C18","Disease or Syndrome","Not Autism",2,FALSE
"C0554591","Polymyositis, Idiopathic","disease","C05;C10","Disease or Syndrome","Not Autism",5,FALSE
"C3889636","SPINOCEREBELLAR ATAXIA 37","disease","","Disease or Syndrome","Not Autism",2,FALSE
"C0020800","Idiopathic Hypercatabolic Hypoproteinemia","disease","C06","Disease or Syndrome","Not Autism",1,FALSE
"C0033680","Protein-Losing Enteropathies","group","C06","Disease or Syndrome","Not Autism",1,FALSE
"C4538570","COMPLEMENT HYPERACTIVATION, ANGIOPATHIC THROMBOSIS, AND PROTEIN-LOSING ENTEROPATHY","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0023092","Lassa Fever","disease","C02","Disease or Syndrome","Not Autism",1,FALSE
"C0410174","Fukuyama Type Congenital Muscular Dystrophy","disease","C10;C11;C16","Disease or Syndrome","Not Autism",14,FALSE
"C0457133","Muscle eye brain disease","disease","C10;C11;C16","Disease or Syndrome","Not Autism",14,FALSE
"C1836373","MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2K","disease","C10;C11;C16","Disease or Syndrome","Not Autism",14,FALSE
"C2936406","alpha-Dystroglycanopathies","disease","C10;C11;C16","Disease or Syndrome","Not Autism",14,FALSE
"C3151184","MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 9","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C4225291","MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 9","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0009759","Conjunctival Diseases","group","C11","Disease or Syndrome","Not Autism",1,FALSE
"C1335167","Ovarian Mucinous Adenocarcinoma","disease","","Neoplastic Process","Not Autism",31,FALSE
"C3809008","HYPOMYELINATION WITH BRAINSTEM AND SPINAL CORD INVOLVEMENT AND LEG SPASTICITY","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C1507149","Partial chromosome Y deletion","phenotype","C12;C13;C16;C19;C23","Cell or Molecular Dysfunction","Not Autism",8,FALSE
"C1839071","Spermatogenic Failure, Nonobstructive, Y-Linked","disease","C12;C16","Disease or Syndrome","Not Autism",16,FALSE
"C2931163","Male sterility due to Y-chromosome deletions","disease","C12;C13;C16;C19;C23","Disease or Syndrome","Not Autism",8,FALSE
"C1336708","Testicular Germ Cell Tumor","disease","C04;C12;C19","Neoplastic Process","Not Autism",12,FALSE
"C0342687","dopamine beta hydroxylase deficiency","disease","C10","Disease or Syndrome","Not Autism",1,FALSE
"C0152018","Esophageal carcinoma","disease","","Neoplastic Process","Not Autism",6,FALSE
"C0153942","Benign neoplasm of esophagus","disease","","Neoplastic Process","Not Autism",6,FALSE
"C0154059","Carcinoma in situ of esophagus","disease","","Neoplastic Process","Not Autism",6,FALSE
"C0162809","Kallmann Syndrome","disease","C12;C13;C16;C19","Disease or Syndrome","Not Autism",26,FALSE
"C0175754","Agenesis of corpus callosum","disease","C10;C16;C23","Congenital Abnormality","Not Autism",2,FALSE
"C1834870","MIRROR MOVEMENTS 1","phenotype","","Finding","Not Autism",1,FALSE
"C1846496","Gaze Palsy, Familial Horizontal, with Progressive Scoliosis","disease","C05;C10;C11;C18;C23","Disease or Syndrome","Not Autism",2,FALSE
"C3179058","Corpus Callosum Malformation","disease","C10;C16;C23","Congenital Abnormality","Not Autism",2,FALSE
"C4479640","GAZE PALSY, FAMILIAL HORIZONTAL, WITH PROGRESSIVE SCOLIOSIS, 2","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C1864738","Corneal Dystrophy, Congenital Stromal","disease","C11;C16","Disease or Syndrome","Not Autism",1,FALSE
"C0010200","Coughing","phenotype","C08;C23","Sign or Symptom","Not Autism",4,FALSE
"C0017924","Glycogen Storage Disease Type V","disease","C16;C18","Disease or Syndrome","Not Autism",2,FALSE
"C0021295","Infant, Premature, Diseases","group","C16","Disease or Syndrome","Not Autism",1,FALSE
"C0025303","Meningococcal Infections","group","C01","Disease or Syndrome","Not Autism",4,FALSE
"C0032310","Pneumonia, Viral","disease","C02;C08","Disease or Syndrome","Not Autism",1,FALSE
"C0455503","H/O: depression","phenotype","","Finding","Not Autism",2,FALSE
"C0948480","Coronary Restenosis","disease","C14","Disease or Syndrome","Not Autism",5,FALSE
"C1175175","Severe Acute Respiratory Syndrome","disease","C02;C08","Disease or Syndrome","Not Autism",1,FALSE
"C2675470","MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 3 (finding)","phenotype","","Finding","Not Autism",1,FALSE
"C1843315","Neuronopathy, Distal Hereditary Motor, Type Viib","disease","C10","Disease or Syndrome","Not Autism",1,FALSE
"C1868594","Perry Syndrome","disease","C08;C10;C23;F01","Disease or Syndrome","Not Autism",1,FALSE
"C3203358","Hypoventilation","phenotype","C08;C23","Pathologic Function","Not Autism",1,FALSE
"C3542025","AMYOTROPHIC LATERAL SCLEROSIS 1, AUTOSOMAL RECESSIVE","disease","","Disease or Syndrome","Not Autism",2,FALSE
"C0265219","Miller Dieker syndrome","disease","C10;C16","Disease or Syndrome","Not Autism",5,FALSE
"C0431375","Classical Lissencephaly","disease","C10;C16","Disease or Syndrome","Not Autism",3,FALSE
"C1848070","Lissencephaly and agenesis of corpus callosum","disease","C10;C16;C23","Disease or Syndrome","Not Autism",1,FALSE
"C1848199","X-Linked Lissencephaly","disease","C10;C16","Disease or Syndrome","Not Autism",2,FALSE
"C1848200","SUBCORTICAL BAND HETEROTOPIA, X-LINKED","disease","C10;C16","Disease or Syndrome","Not Autism",1,FALSE
"C1848201","Subcortical Band Heterotopia","disease","C10;C16","Disease or Syndrome","Not Autism",4,FALSE
"C1955870","Classical Lissencephalies and Subcortical Band Heterotopias","disease","C10;C16","Disease or Syndrome","Not Autism",2,FALSE
"C0043346","Xeroderma Pigmentosum","disease","C04;C16;C17;C18","Congenital Abnormality","Not Autism",8,FALSE
"C1848411","XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP E","disease","C04;C16;C17;C18","Congenital Abnormality; Disease or Syndrome","Not Autism",1,FALSE
"C0085633","Mood swings","disease","","Mental or Behavioral Dysfunction","Not Autism",2,FALSE
"C0342686","Aromatic amino acid decarboxylase deficiency","disease","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C1291564","Deficiency of aromatic-L-amino-acid decarboxylase","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0019269","Hermaphroditism","disease","C12;C13;C16;C19","Disease or Syndrome","Not Autism",5,FALSE
"C0027661","Neoplasms, Hormone-Dependent","group","C04","Neoplastic Process","Not Autism",3,FALSE
"C0033804","Pseudohermaphroditism","disease","C12;C13;C16;C19","Congenital Abnormality","Not Autism",5,FALSE
"C0266362","Ambiguous Genitalia","disease","C12;C13;C16;C19","Congenital Abnormality","Not Autism",5,FALSE
"C2930618","Intersex Conditions","disease","C12;C13;C16;C19","Congenital Abnormality","Not Autism",5,FALSE
"C2930619","Sex Differentiation Disorders","group","C12;C13;C16;C19","Disease or Syndrome","Not Autism",5,FALSE
"C0021831","Intestinal Diseases","group","C06","Disease or Syndrome","Not Autism",6,FALSE
"C0028840","Ocular Hypertension","disease","C11","Disease or Syndrome","Not Autism",3,FALSE
"C0041582","Ulcer","disease","C23","Disease or Syndrome","Not Autism",2,FALSE
"C0206634","Liposarcoma, Myxoid","disease","C04","Neoplastic Process","Not Autism",2,FALSE
"C3281084","Congenital disorder of glycosylation type 1r","disease","","Congenital Abnormality; Disease or Syndrome","Not Autism",1,FALSE
"C0796184","Corpus Callosum, Agenesis of, with Facial Anomalies and Robin Sequence","disease","C05;C07;C10;C12;C13;C14;C16;C23","Disease or Syndrome","Not Autism",1,FALSE
"C4085582","MENTAL RETARDATION, X-LINKED 102","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C3150658","WARSAW BREAKAGE SYNDROME","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0023772","Lipid Metabolism, Inborn Errors","group","C16;C18","Disease or Syndrome","Not Autism",6,FALSE
"C1857252","2,4-Dienoyl-CoA Reductase Deficiency","disease","C16;C18","Disease or Syndrome","Not Autism",2,FALSE
"C0031269","Peutz-Jeghers Syndrome","disease","C04;C06;C16;C17","Disease or Syndrome","Not Autism",2,FALSE
"C0155862","Streptococcal pneumonia","disease","C01;C08","Disease or Syndrome","Not Autism",6,FALSE
"C0349788","Arrhythmogenic Right Ventricular Dysplasia","disease","C14;C16","Congenital Abnormality; Disease or Syndrome","Not Autism",15,FALSE
"C1832370","MYOPATHY, MYOFIBRILLAR, DESMIN-RELATED","disease","C05;C10;C14;C16","Disease or Syndrome","Not Autism",1,FALSE
"C1858154","CARDIOMYOPATHY, DILATED, 1I","disease","C14","Disease or Syndrome","Not Autism",1,FALSE
"C1867005","Scapuloperoneal Syndrome, Neurogenic, Kaeser Type","disease","C10;C16","Disease or Syndrome","Not Autism",1,FALSE
"C2678065","Myofibrillar Myopathy","disease","C05;C10","Disease or Syndrome","Not Autism",5,FALSE
"C3148763","MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 1E","disease","C05;C10;C16","Disease or Syndrome","Not Autism",2,FALSE
"C3809137","MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2R","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0398764","Complement Factor D Deficiency","disease","C20","Disease or Syndrome","Not Autism",1,FALSE
"C0796074","MOHR-TRANEBJAERG SYNDROME","disease","C09;C10;C11;C16;C23;F01;F03","Disease or Syndrome","Not Autism",1,FALSE
"C1839564","Jensen syndrome","disease","C09;C10;C11;C23;F03","Disease or Syndrome","Not Autism",1,FALSE
"C1832932","DEAFNESS, AUTOSOMAL DOMINANT 5 (disorder)","disease","C09;C10;C23","Disease or Syndrome","Not Autism",1,FALSE
"C1832425","Deafness, Autosomal Dominant 9","disease","C09;C10;C23","Disease or Syndrome","Not Autism",1,FALSE
"C3151513","MITOCHONDRIAL DNA DEPLETION SYNDROME 3 (HEPATOCEREBRAL TYPE)","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C3711385","Deoxyguanosine Kinase Deficiency","disease","C18","Disease or Syndrome","Not Autism",2,FALSE
"C4310733","PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, AUTOSOMAL RECESSIVE 4","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C4310735","PORTAL HYPERTENSION, NONCIRRHOTIC","disease","","Disease or Syndrome","Not Autism",1,FALSE
"A07","Smith-Lemli-Opitz Syndrome","disease","C16;C18","Disease or Syndrome","Syndromic Autism",1,TRUE
"C2713347","7-Dehydrocholesterol Reductase Deficiency","disease","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C0034362","Q Fever","disease","C01","Disease or Syndrome","Not Autism",5,FALSE
"C0519066","Acute Q fever","disease","C01","Disease or Syndrome","Not Autism",5,FALSE
"C1443892","Chronic Q Fever","disease","C01","Disease or Syndrome","Not Autism",5,FALSE
"C1865596","Desmosterolosis","disease","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C2973787","Coxiella burnetii Infection","disease","C01","Disease or Syndrome","Not Autism",5,FALSE
"C0002888","Anemia, Megaloblastic","disease","C15","Disease or Syndrome","Not Autism",4,FALSE
"C0016412","Folic Acid Deficiency","disease","C18","Disease or Syndrome","Not Autism",1,FALSE
"C2751584","Neurodegeneration Due To Cerebral Folate Transport Deficiency","phenotype","C10","Disease or Syndrome","Not Autism",3,FALSE
"C3151205","Megaloblastic Anemia due to Dihydrofolate Reductase Deficiency","disease","C15","Disease or Syndrome","Not Autism",1,FALSE
"C0265257","Genee-Wiedemann syndrome","disease","C05;C07;C16","Disease or Syndrome","Not Autism",1,FALSE
"C0268193","NADH cytochrome B5 reductase deficiency","disease","C15","Disease or Syndrome","Not Autism",2,FALSE
"C2749559","Methemoglobinemia, Type I","disease","C15","Disease or Syndrome","Not Autism",1,FALSE
"C2749560","Methemoglobinemia, Type Ii","disease","C15","Disease or Syndrome","Not Autism",1,FALSE
"C2749561","Nadh-Cytochrome B5 Reductase Deficiency, Type I","disease","C15","Disease or Syndrome","Not Autism",1,FALSE
"C2749562","Nadh-Cytochrome B5 Reductase Deficiency, Type Ii","disease","C15","Disease or Syndrome","Not Autism",1,FALSE
"C0023466","Leukemia, Monocytic, Chronic","disease","C04","Neoplastic Process","Not Autism",18,FALSE
"C0023470","Myeloid Leukemia","disease","C04","Neoplastic Process","Not Autism",18,FALSE
"C4225261","SEIZURES, CORTICAL BLINDNESS, AND MICROCEPHALY SYNDROME","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C1845293","Premature Ovarian Failure 2a","disease","C13;C16;C19","Disease or Syndrome","Not Autism",1,FALSE
"C0020551","Hyperthyroxinemia","disease","C19","Disease or Syndrome","Not Autism",1,FALSE
"C0265965","Dyskeratosis Congenita","disease","C16;C17","Disease or Syndrome","Not Autism",12,FALSE
"C1148551","X-Linked Dyskeratosis Congenita","disease","C16;C17","Disease or Syndrome","Not Autism",6,FALSE
"C1846142","HOYERAAL-HREIDARSSON SYNDROME","disease","C05;C10;C13;C16;C17;C23;F01;F03","Disease or Syndrome","Not Autism",6,FALSE
"C3806774","GROWTH RETARDATION, PRENATAL, WITH PROGRESSIVE PANCYTOPENIA AND CEREBELLAR HYPOPLASIA","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C1855565","Pyruvate Dehydrogenase E2 Deficiency","disease","C10;C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C3492932","Lactic Acidosis, Congenital Infantile, Due To Lad Deficiency","disease","C10;C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C3275443","MENTAL RETARDATION, X-LINKED 90 (disorder)","disease","","Disease or Syndrome","Not Autism",1,FALSE
"A15","William Syndrome","disease","C10;C14;C16","Disease or Syndrome","Syndromic Autism",10,TRUE
"C0265333","Tricho-dento-osseous syndrome (disorder)","disease","C05;C07;C16;C17","Disease or Syndrome","Not Autism",1,FALSE
"C0399373","Amelogenesis imperfecta, hypomaturation hypoplasia type with taurodontism","disease","","Congenital Abnormality","Not Autism",1,FALSE
"C1863012","Amelogenesis Imperfecta, Type IV","disease","C07;C16","Disease or Syndrome","Not Autism",1,FALSE
"C4225209","OROFACIAL CLEFT 15","disease","","Congenital Abnormality","Not Autism",1,FALSE
"C0265554","Ectrodactyly","disease","C05;C16","Congenital Abnormality","Not Autism",7,FALSE
"C1857344","Split-Hand-Foot Malformation With Sensorineural Hearing Loss","disease","C05;C09;C10;C16;C23","Congenital Abnormality; Disease or Syndrome","Not Autism",1,FALSE
"C0026851","Muscular Dystrophy, Animal","disease","C22","Disease or Syndrome","Not Autism",2,FALSE
"C3668940","Dmd-Associated Dilated Cardiomyopathy","disease","C14","Disease or Syndrome","Not Autism",1,FALSE
"C0268563","Sarcosinemia","phenotype","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C0342643","Autosomal recessive hypophosphatemic vitamin D refractory rickets","disease","C05;C12;C13;C16;C18","Disease or Syndrome","Not Autism",2,FALSE
"C0393706","Early infantile epileptic encephalopathy with suppression bursts","disease","","Disease or Syndrome","Not Autism",12,FALSE
"C4225357","EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 31","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0027125","Myotonia","phenotype","C10;C23","Finding","Not Autism",3,FALSE
"C0751358","Myotonic Phenomenon","phenotype","C10;C23","Finding","Not Autism",3,FALSE
"C0751359","Percussion Myotonia","phenotype","C10;C23","Finding","Not Autism",3,FALSE
"C3250443","MYOTONIC DYSTROPHY 1","disease","","Disease or Syndrome","Not Autism",2,FALSE
"C0039590","Testicular Neoplasms","group","C04;C12;C19","Neoplastic Process","Not Autism",8,FALSE
"C0153594","Malignant neoplasm of testis","disease","C04;C12;C19","Neoplastic Process","Not Autism",7,FALSE
"C1720811","Tumor of Rete Testis","disease","C04;C12;C19","Neoplastic Process","Not Autism",6,FALSE
"C3554599","PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, AUTOSOMAL DOMINANT, 6","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0022521","Kartagener Syndrome","disease","C08;C09;C14;C16","Disease or Syndrome","Not Autism",38,FALSE
"C1837618","CILIARY DYSKINESIA, PRIMARY, 3","disease","C08;C09;C14;C16","Disease or Syndrome","Not Autism",1,FALSE
"C4317124","Polynesian Bronchiectasis","disease","C08;C09;C14;C16","Disease or Syndrome","Not Autism",38,FALSE
"C0343206","Hypocomplementemic urticarial vasculitis","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0043116","HMN (Hereditary Motor Neuropathy) Proximal Type I","disease","C10;C16","Disease or Syndrome","Not Autism",4,FALSE
"C0152109","Juvenile Spinal Muscular Atrophy","disease","C10;C16","Disease or Syndrome","Not Autism",4,FALSE
"C0393538","Muscular Atrophy, Spinal, Type II","disease","C10;C16","Disease or Syndrome","Not Autism",4,FALSE
"C0431380","Cortical Dysplasia","disease","C10;C16","Congenital Abnormality","Not Autism",13,FALSE
"C0700595","Spinal Muscular Atrophies of Childhood","disease","C10;C16","Disease or Syndrome","Not Autism",3,FALSE
